,bill_id,long_title,bill_status
259,17SBN-1975,august h responsible press freedom day,Pending
260,17SBN-1974,welfare social assistance left behind overseas,Pending
262,17SBN-1972,citizenship retention reacquisition commonwealth,Pending
263,17SBN-1971,special protection child motor,Passed
264,17SBN-1970,establishment public private nationwide consumer,Pending
265,17SBN-1969,department disaster resilience power,Pending
266,17SBN-1968,increasing bed capacity memorial medical center city service professional health care therein,Passed
267,17SBN-1967,converting memorial district hospital city province extension hospital regional training teaching hospital increasing bed capacity fifty hundred fifty p memorial district hospital,Pending
268,17SBN-1966,increasing bed capacity medical center city hundred,Passed
269,17SBN-1965,increasing bed capacity southern medical center city hundred hundred professional health care increase medical personnel,Passed
270,17SBN-1964,converting hospital city general hospital general hospital increasing bed capacity ten,Pending
271,17SBN-1963,central sanitarium city tertiary level hospital increasing bed capacity general care hundred,Passed
272,17SBN-1962,converting hospital province fifty capacity district hospital district hospital professional health care increase medical personnel,Pending
273,17SBN-1961,increasing bed capacity tertiary general health care n memorial hospital sanitarium city hundred converting n memorial hospital sanitarium tertiary general health care,Passed
274,17SBN-1960,increasing bed capacity medical center city service professional health care therein,Pending
275,17SBN-1959,comprehensive nuclear regulation nuclear regulatory commission,Pending
276,17SBN-1958,probable,Pending
277,17SBN-1957,burial overseas flag heraldic,Pending
278,17SBN-1956,certain secure state protect people terrorism,Pending
279,17SBN-1955,pregnancy support service department health,Pending
280,17SBN-1954,support public school school personnel student discipline classroom management protection case related,Pending
281,17SBN-1953,meaning full labor,Pending
282,17SBN-1952,strengthening gender equality family,Pending
283,17SBN-1951,citizenship,Pending
284,17SBN-1950,reducing electricity net share natural gas project payment contract power corporation,Passed
285,17SBN-1949,increasing age consent protection,Pending
286,17SBN-1948,importation plastic system business,Pending
287,17SBN-1947,converting hospital city general hospital general hospital increasing bed capacity ten,Pending
288,17SBN-1946,electoral campaign common campaign staging style designation common poster barangay prohibition publication campaign period,Pending
289,17SBN-1945,insurance,Pending
290,17SBN-1944,teaching disaster awareness disaster mitigation part curriculum primary,Pending
291,17SBN-1943,issuing restraining preliminary certain extrajudicial judicial foreclosure real estate,Pending
292,17SBN-1942,protection legitimate real property fraudulent real estate,Pending
293,17SBN-1941,income tax compensation given serving electoral board local,Pending
294,17SBN-1940,converting state college province state university state university,Pending
295,17SBN-1939,continuous uninterrupted transmission distribution electricity protection integrity reliability power,Pending
296,17SBN-1938,economic development authority independent economic agency series,Pending
297,17SBN-1937,increasing detention medical similar ground nonpayment hospital medical detention medical ground nonpayment hospital medical,Pending
299,17SBN-1935,special protection armed conflict,Pending
300,17SBN-1934,strengthening development authority development authority,Pending
301,17SBN-1933,converting state college province state university state university,Pending
302,17SBN-1932,fundamental equality men chastity,Pending
303,17SBN-1931,lease asset,Pending
304,17SBN-1930,organic autonomous region cordillera,Pending
305,17SBN-1929,current legislative province legislative,Pending
306,17SBN-1928,framework right adequate food,Pending
307,17SBN-1927,rule imposition interest loan forbearance money,Pending
308,17SBN-1926,day care,Pending
309,17SBN-1925,legal effect mandatory technology transfer said intellectual property,Pending
310,17SBN-1924,conduct ethical public,Pending
311,17SBN-1923,autonomous region cordillera arc,Pending
312,17SBN-1922,department disaster risk reduction management thereby,Pending
313,17SBN-1921,procurement reform,Pending
314,17SBN-1920,forest boundary province,Pending
315,17SBN-1919,converting memorial state college city occidental satellite province occidental state university memorial state university,Pending
316,17SBN-1918,converting model community barangay province barangay naming barangay,Pending
317,17SBN-1917,survivorship dependent deceased retired member commission audit civil service commission commission ombudsman parent surviving nominated deceased survivorship surviving legitimate spouse deceased retired member commission audit civil service commission commission ombudsman,Pending
318,17SBN-1916,transfer information science technology countryside excellence,Pending
319,17SBN-1915,enhance genuine culture promote nationalism recognize supporting industry instructional public financial support,Pending
320,17SBN-1914,system prostitution imposing protective support vagrancy,Pending
321,17SBN-1913,strengthen coconut authority coconut industry,Pending
322,17SBN-1912,strengthening local participation agriculture development ten percent budgetary allocation internal revenue allotment implementation agriculture local,Pending
323,17SBN-1911,certain organic agriculture,Pending
324,17SBN-1910,day special emergency leave public private sector directly affected natural,Pending
325,17SBN-1909,promote competition construction industry,Pending
326,17SBN-1908,strengthening warehouse receipt legal framework facilitate trade commerce related,Pending
327,17SBN-1907,investment commonwealth letter,Pending
328,17SBN-1906,corporate income tax internal revenue therein new,Pending
329,17SBN-1905,ensure pedestrian safety convenience,Pending
330,17SBN-1904,renewable energy credit small solar power,Pending
331,17SBN-1903,increasing pension senior,Pending
332,17SBN-1902,comprehensive hazardous radioactive management,Pending
333,17SBN-1901,strengthening witness protection security benefit witness protection security benefit,Pending
334,17SBN-1900,protection welfare practice profession,Pending
335,17SBN-1899,strengthen safety acquisition right way infrastructure right way,Pending
336,17SBN-1898,department interior local,Passed
337,17SBN-1897,creation road safety institute center transport,Pending
338,17SBN-1896,universal health care health care system,Passed
339,17SBN-1895,increasing age statutory rape protection also,Pending
340,17SBN-1894,child development,Pending
341,17SBN-1893,premature accordingly omnibus election,Pending
342,17SBN-1892,practice audiology professional regulatory board audiology education,Pending
343,17SBN-1891,practice medical technology related,Pending
344,17SBN-1890,registration licensure practice quantity surveying related,Pending
345,17SBN-1889,elder abuse,Pending
346,17SBN-1888,teenage social protection teenage,Pending
347,17SBN-1887,mandatory crop insurance coverage small subsidy,Pending
349,17SBN-1885,protection overseas custody,Pending
350,17SBN-1884,support student discipline classroom management personnel public school system,Pending
351,17SBN-1883,improving disclosure transparency extractive,Pending
352,17SBN-1882,increasing combat duty pay enlisted personnel armed current value centum base pay,Pending
353,17SBN-1881,commission senior council board,Pending
354,17SBN-1880,living pension qualified senior expanded senior,Pending
355,17SBN-1879,unified jail management system provincial subprovincial city district commission jail management,Pending
356,17SBN-1878,class size public,Pending
357,17SBN-1877,expand conditional cash transfer,Pending
358,17SBN-1876,local police reform reorganization,Pending
359,17SBN-1875,rank classification police interior local,Pending
360,17SBN-1874,develop strengthen agricultural education training country institutionalization development agricultural entrepreneurship level,Pending
361,17SBN-1873,recovery collection disposal plastic drinking commercial,Pending
362,17SBN-1872,lowering optional retirement age public school sixty old old service insurance system,Pending
363,17SBN-1871,teaching allowance public school,Pending
364,17SBN-1870,support public school school personnel student discipline classroom management protection related,Pending
365,17SBN-1869,rank classification police department interior local,Pending
366,17SBN-1868,campus journalism campus press freedom promotion campus journalism campus press freedom,Pending
367,17SBN-1867,increasing honorarium bonus barangay barangay lump sum gratuity pay equivalent local,Pending
368,17SBN-1866,plastic,Pending
369,17SBN-1865,increasing social pension senior expanding coverage,Pending
370,17SBN-1864,surveillance response notifiable health public health concern prevention suppression dangerous communicable,Pending
371,17SBN-1863,catching sale purchase possession transportation importation exportation part country,Pending
372,17SBN-1862,seat,Pending
373,17SBN-1861,traffic signal accessible pedestrian,Pending
374,17SBN-1860,mandatory insurance coverage hazard pay medium field,Pending
375,17SBN-1859,increasing bed capacity memorial hospital medical center city hundred professional health care increase medical nonmedical personnel,Pending
376,17SBN-1858,conduct hybrid local manual voting counting precinct level transmission,Pending
377,17SBN-1857,road safety curriculum campaign training,Pending
378,17SBN-1856,monetary reparation loss destruction residential commercial building affected area greater area city siege,Pending
379,17SBN-1855,good manner right conduct character education curriculum elementary level,Pending
380,17SBN-1854,protecting protection board,Pending
381,17SBN-1853,professional development,Pending
382,17SBN-1852,public free access,Pending
383,17SBN-1851,plastic,Pending
384,17SBN-1850,cancer control,Passed
385,17SBN-1849,august special working holiday commemorate death,Pending
386,17SBN-1848,special working holiday commemorate death,Pending
387,17SBN-1847,special working holiday commemorate death,Pending
388,17SBN-1846,special working holiday commemorate death francisca,Pending
389,17SBN-1845,special working holiday commemorate death,Pending
390,17SBN-1844,baby food replacement least toxic alternative,Pending
391,17SBN-1843,seal good local governance local seal good local governance,Passed
392,17SBN-1842,local population land area conversion component city locally average income least hundred fifty,Pending
393,17SBN-1841,travel tax,Pending
394,17SBN-1840,additional branch regional trial court district paragraph j judiciary reorganization,Passed
395,17SBN-1839,quantitative import rice lifting quantitative export rice corn rice competitiveness enhancement,Pending
396,17SBN-1838,sport academy training center province,Pending
397,17SBN-1837,strengthening regulation health hospital licensure,Pending
398,17SBN-1836,emergency medical system establishment supervision regulation emergency medical profession,Pending
399,17SBN-1835,equity support expense value,Pending
400,17SBN-1834,transferring police academy police training institute public safety college police,Pending
401,17SBN-1833,marine hatchery province,Pending
402,17SBN-1832,marine hatchery province,Pending
403,17SBN-1831,marine hatchery province,Pending
404,17SBN-1830,marine hatchery province,Pending
405,17SBN-1829,protection financial,Pending
406,17SBN-1828,reorganization police,Pending
407,17SBN-1827,establish address confidentiality violence violation,Pending
408,17SBN-1825,fire,Pending
409,17SBN-1824,sale electricity generation transmission distribution electricity imposition value added tax internal revenue,Pending
410,17SBN-1822,mandatory motorcycle safety training,Pending
411,17SBN-1821,creation parking parking construction building,Pending
412,17SBN-1820,nature park barangay city responsible zone,Pending
413,17SBN-1819,social welfare attache migrant overseas,Passed
414,17SBN-1818,safety riding motor,Pending
415,17SBN-1817,professional development,Pending
416,17SBN-1816,monetary compensation loss destruction residential commercial main affected area greater area city siege,Pending
417,17SBN-1815,annulment marriage religious sect family,Pending
418,17SBN-1814,public safety local level department public safety province city,Pending
419,17SBN-1813,fatty food,Pending
421,17SBN-1811,reorganize development committee public development authority,Pending
422,17SBN-1810,ten percent budgetary allocation implementation senior pertinent local,Pending
423,17SBN-1809,autism care plan support autism,Pending
424,17SBN-1808,remove exclude refined sugar list covered mandatory food fortification food fortification,Pending
425,17SBN-1807,additional branch regional trial court judicial region province judiciary reorganization,Pending
426,17SBN-1806,reduce poverty promote human capital development,Pending
427,17SBN-1805,strengthening career service congress legislative career service,Pending
428,17SBN-1804,installation solar public school electricity available,Pending
429,17SBN-1803,include teaching computer part elementary high school curriculum public private,Pending
430,17SBN-1802,school modernization innovation public elementary,Pending
431,17SBN-1801,imposition interest penalty unpaid hospital medical earn minimum wage le,Pending
432,17SBN-1800,increasing bed capacity memorial hospital medical center city hundred professional health care increase medical nonmedical personnel,Pending
433,17SBN-1799,free living quarter public school,Pending
434,17SBN-1798,internal revenue automatic suspension excise tax fuel tax reform acceleration inclusion train,Pending
